angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.65,,"[646, 214, 179, 239]",,0.01,,0.05,,0.03,,0.05,,0.2,,0.01,
0.23,,"[543, 213, 118, 158]",,0.0,,0.07,,0.04,,0.07,,0.59,,0.0,
0.03,,"[577, 211, 193, 254]",,0.0,,0.23,,0.14,,0.2,,0.38,,0.03,
0.08,,"[513, 169, 180, 222]",,0.0,,0.01,,0.86,,0.0,,0.04,,0.0,
0.07,,"[514, 169, 179, 220]",,0.0,,0.02,,0.86,,0.01,,0.04,,0.0,
0.38,,"[519, 151, 178, 221]",,0.01,,0.06,,0.37,,0.02,,0.15,,0.0,
0.19,,"[523, 140, 189, 231]",,0.0,,0.04,,0.55,,0.1,,0.11,,0.0,
0.49,,"[531, 152, 178, 221]",,0.01,,0.05,,0.32,,0.04,,0.1,,0.0,
0.48,,"[531, 152, 177, 221]",,0.01,,0.05,,0.32,,0.04,,0.1,,0.0,
0.36,,"[540, 140, 190, 236]",,0.01,,0.04,,0.48,,0.05,,0.05,,0.0,
0.91,,"[567, 148, 185, 237]",,0.04,,0.02,,0.01,,0.0,,0.02,,0.01,
0.86,,"[574, 154, 184, 233]",,0.03,,0.04,,0.01,,0.0,,0.04,,0.01,
0.92,,"[588, 143, 191, 243]",,0.02,,0.01,,0.03,,0.0,,0.02,,0.0,
0.92,,"[588, 143, 191, 243]",,0.02,,0.01,,0.03,,0.0,,0.02,,0.0,
0.82,,"[579, 147, 189, 247]",,0.01,,0.02,,0.03,,0.01,,0.11,,0.0,
0.74,,"[573, 152, 190, 246]",,0.02,,0.04,,0.03,,0.01,,0.15,,0.01,
0.73,,"[573, 152, 190, 246]",,0.02,,0.04,,0.03,,0.01,,0.16,,0.01,
0.78,,"[552, 173, 182, 227]",,0.05,,0.06,,0.0,,0.0,,0.09,,0.01,
0.68,,"[530, 164, 191, 232]",,0.02,,0.09,,0.02,,0.01,,0.16,,0.01,
0.69,,"[530, 164, 191, 232]",,0.02,,0.09,,0.02,,0.01,,0.15,,0.01,
0.7,,"[533, 169, 182, 220]",,0.0,,0.04,,0.0,,0.03,,0.22,,0.0,
0.4,,"[507, 138, 199, 247]",,0.0,,0.1,,0.0,,0.05,,0.45,,0.0,
0.88,,"[497, 134, 195, 254]",,0.01,,0.04,,0.0,,0.01,,0.02,,0.04,
0.78,,"[491, 137, 193, 248]",,0.0,,0.07,,0.0,,0.0,,0.02,,0.12,
0.77,,"[491, 137, 193, 248]",,0.0,,0.08,,0.0,,0.0,,0.02,,0.12,
0.7,,"[510, 137, 184, 238]",,0.02,,0.05,,0.01,,0.01,,0.09,,0.11,
0.31,,"[484, 161, 191, 242]",,0.0,,0.06,,0.02,,0.25,,0.36,,0.0,
0.68,,"[494, 175, 176, 232]",,0.0,,0.06,,0.01,,0.08,,0.15,,0.01,
0.81,,"[462, 169, 193, 260]",,0.0,,0.06,,0.01,,0.05,,0.07,,0.01,
0.81,,"[462, 169, 194, 259]",,0.0,,0.05,,0.01,,0.05,,0.06,,0.01,
0.77,,"[457, 180, 190, 255]",,0.0,,0.07,,0.01,,0.05,,0.08,,0.03,
0.51,,"[454, 194, 186, 241]",,0.0,,0.06,,0.01,,0.23,,0.2,,0.01,
0.45,0.05,"[448, 191, 190, 245]","[-13, -13, 61, 73]",0.0,0.02,0.08,0.05,0.0,0.67,0.27,0.12,0.19,0.03,0.01,0.05
0.67,0.06,"[443, 189, 190, 247]","[-12, -13, 61, 73]",0.0,0.02,0.07,0.07,0.01,0.54,0.1,0.17,0.13,0.04,0.02,0.09
0.66,0.06,"[442, 189, 191, 247]","[-12, -13, 61, 73]",0.0,0.01,0.07,0.07,0.01,0.58,0.12,0.16,0.12,0.04,0.02,0.08
0.73,,"[435, 182, 198, 252]",,0.0,,0.04,,0.01,,0.1,,0.09,,0.03,
0.61,,"[432, 190, 189, 239]",,0.0,,0.04,,0.02,,0.12,,0.19,,0.01,
0.84,,"[440, 204, 184, 231]",,0.0,,0.05,,0.0,,0.02,,0.09,,0.0,
0.8,,"[441, 214, 181, 224]",,0.01,,0.05,,0.0,,0.01,,0.12,,0.0,
0.88,,"[442, 215, 181, 224]",,0.01,,0.03,,0.0,,0.01,,0.08,,0.0,
0.7,,"[431, 220, 179, 223]",,0.02,,0.05,,0.04,,0.03,,0.15,,0.0,
0.63,,"[426, 238, 175, 217]",,0.05,,0.11,,0.0,,0.02,,0.18,,0.0,
0.74,,"[433, 242, 169, 209]",,0.03,,0.14,,0.0,,0.01,,0.07,,0.0,
0.73,,"[430, 224, 185, 231]",,0.01,,0.08,,0.01,,0.02,,0.14,,0.0,
0.72,,"[429, 223, 185, 232]",,0.01,,0.09,,0.01,,0.02,,0.15,,0.0,
0.57,,"[423, 210, 191, 240]",,0.0,,0.07,,0.03,,0.09,,0.23,,0.01,
0.62,,"[431, 208, 191, 239]",,0.0,,0.03,,0.01,,0.12,,0.22,,0.0,
