,box,angry,disgust,fear,happy,sad,surprise,neutral
225,"[412, 216, 191, 246]",0.58,0.0,0.1,0.01,0.14,0.02,0.16
226,"[404, 204, 192, 254]",0.78,0.0,0.03,0.01,0.1,0.03,0.05
227,"[415, 205, 193, 252]",0.72,0.0,0.04,0.01,0.09,0.11,0.03
228,"[404, 208, 191, 254]",0.78,0.0,0.04,0.0,0.09,0.04,0.06
229,"[404, 209, 191, 253]",0.82,0.0,0.04,0.0,0.07,0.03,0.04
230,"[407, 214, 192, 249]",0.81,0.0,0.05,0.01,0.07,0.01,0.04
231,"[420, 232, 182, 222]",0.58,0.0,0.02,0.03,0.15,0.0,0.22
232,"[420, 233, 181, 224]",0.63,0.0,0.03,0.02,0.15,0.0,0.16
233,"[416, 231, 183, 239]",0.79,0.0,0.04,0.01,0.1,0.0,0.06
234,"[417, 231, 182, 238]",0.83,0.0,0.03,0.01,0.07,0.0,0.05
235,"[416, 231, 186, 239]",0.78,0.0,0.04,0.01,0.11,0.0,0.06
236,"[422, 233, 186, 232]",0.71,0.01,0.04,0.02,0.16,0.0,0.07
237,"[426, 239, 181, 232]",0.84,0.01,0.02,0.01,0.08,0.01,0.03
238,"[441, 251, 170, 209]",0.83,0.01,0.04,0.0,0.1,0.0,0.02
239,"[438, 233, 186, 229]",0.52,0.0,0.06,0.01,0.27,0.0,0.12
240,"[432, 168, 205, 270]",0.68,0.0,0.07,0.09,0.11,0.02,0.04
241,"[439, 139, 197, 271]",0.84,0.0,0.02,0.02,0.04,0.06,0.02
242,"[431, 132, 207, 278]",0.84,0.0,0.01,0.02,0.03,0.08,0.01
243,"[436, 147, 197, 274]",0.81,0.0,0.02,0.02,0.05,0.07,0.03
